Commodity,Group
Ag,Processing-Needed
Agg-CR,Extraction-Based
Al,Processing-Needed
Al2O3,Processing-Needed
Alu,Extraction-Based
Ap,Extraction-Based
Ap,Extraction-Based
As,Processing-Needed
Asb,Extraction-Based
Asbr,Extraction-Based
Atta,Extraction-Based
Au,Processing-Needed
Ba,Processing-Needed
Be,Processing-Needed
Bi,Processing-Needed
Brt,Extraction-Based
Bx,Extraction-Based
CaCO3,Extraction-Based
Cbl,Extraction-Based
Cbr,Extraction-Based
Cd,Processing-Needed
Co,Processing-Needed
Coal,Extraction-Based
Coke,Processing-Needed
Cor,Extraction-Based
Corr,Extraction-Based
Cors,Extraction-Based
Cr,Processing-Needed
Cr2O3,Processing-Needed
Cs,Processing-Needed
Cu,Processing-Needed
Cy,Extraction-Based
Dmd,Extraction-Based
Dmdg,Extraction-Based
Dmdi,Extraction-Based
Dol,Extraction-Based
Dy,Processing-Needed
Dy2O3,Processing-Needed
Eu,Processing-Needed
Eu2O3,Processing-Needed
F,Processing-Needed
Fe,Processing-Needed
FeCr,Processing-Needed
FeCr2O4,Extraction-Based
FeOre,Extraction-Based
FeV,Processing-Needed
Fel,Extraction-Based
Feox,Processing-Needed
Fl,Extraction-Based
GS,Extraction-Based
Ga,Processing-Needed
Ga2O3,Processing-Needed
Ge,Processing-Needed
Gp,Extraction-Based
Gr,Extraction-Based
Grt,Extraction-Based
HM,Extraction-Based
HPA,Processing-Needed
HPQ,Processing-Needed
HPSi,Processing-Needed
Hem,Extraction-Based
Hf,Processing-Needed
HfO2,Processing-Needed
Hg,Processing-Needed
Ilm,Extraction-Based
In,Processing-Needed
Ir,Processing-Needed
Jade,Extraction-Based
K,Processing-Needed
K2O,Processing-Needed
K2SO4,Processing-Needed
Kln,Extraction-Based
Ky,Extraction-Based
Leu,Extraction-Based
Li,Processing-Needed
Li2O,Processing-Needed
Lime,Processing-Needed
Lst,Extraction-Based
Mag,Extraction-Based
Mg,Processing-Needed
MgO,Processing-Needed
Mgs,Extraction-Based
Mica,Extraction-Based
Mn,Processing-Needed
MnOre,Extraction-Based
Mnsd,Extraction-Based
Mnz,Extraction-Based
Mo,Processing-Needed
MoO3,Processing-Needed
MoS2,Extraction-Based
NaCl,Extraction-Based
Nb,Processing-Needed
Nb2O5,Processing-Needed
Nd,Processing-Needed
Nd2O3,Processing-Needed
Ni,Processing-Needed
Opl,Extraction-Based
Os,Processing-Needed
OsIr,Extraction-Based
Osh,Extraction-Based
P,Processing-Needed
P2O5,Processing-Needed
PGE,Extraction-Based
Pb,Processing-Needed
Pd,Processing-Needed
Phos,Extraction-Based
Pr,Processing-Needed
Pr2O3,Processing-Needed
Pt,Processing-Needed
Py,Extraction-Based
Qklm,Processing-Needed
Quartz-U,Extraction-Based
REE,Extraction-Based
REO,Processing-Needed
Rb,Processing-Needed
Re,Processing-Needed
Rh,Processing-Needed
Rt,Extraction-Based
Ru,Processing-Needed
S,Processing-Needed
Sb,Processing-Needed
Sc,Processing-Needed
Se,Processing-Needed
Sic,Extraction-Based
Sisd,Extraction-Based
Sn,Processing-Needed
SnO2,Extraction-Based
Sr,Processing-Needed
Stl,Processing-Needed
Ta,Processing-Needed
Ta2O5,Processing-Needed
Tb,Processing-Needed
Tb4O7,Processing-Needed
Te,Processing-Needed
Th,Processing-Needed
ThO2,Processing-Needed
Ti,Processing-Needed
TiO2,Processing-Needed
Tlc,Extraction-Based
Toz,Extraction-Based
U,Processing-Needed
U3O8,Processing-Needed
V,Processing-Needed
V2O5,Processing-Needed
Vrm,Extraction-Based
W,Processing-Needed
WO3,Processing-Needed
Xen,Extraction-Based
Y,Processing-Needed
Y2O3,Processing-Needed
Zeol,Extraction-Based
Zn,Processing-Needed
Zr,Processing-Needed
ZrO2,Processing-Needed
Zrn,Extraction-Based
